gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,08/06/2012,2012
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,04/07/2015,2015
M,DLC,Department of Liquor Control,Silver Spring,Parttime-Regular,Liquor Store Clerk I,05/20/2012,2012
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,10/15/2000,2000
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Health Nurse II,04/19/2004,2004
M,POL,Department of Police,PSB 6th District Special Assignment Team,Fulltime-Regular,Police Officer III,06/11/2007,2007
F,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer Candidate,07/11/2016,2016
F,REC,Department of Recreation,Kennedy Shriver Aquatic Center,Fulltime-Regular,Recreation Supervisor,09/18/1986,1986
F,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Principal Administrative Aide,01/08/2007,2007
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,04/19/1998,1998
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist III,11/13/2000,2000
M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Sergeant,03/04/1991,1991
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist I,08/10/2015,2015
M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Warehouse Worker,09/25/2005,2005
M,DPS,Department of Permitting Services,"Team 3 Commercial Building, Life Safety, Structural and Accessibility",Fulltime-Regular,Senior Permitting Services Specialist,04/22/2013,2013
F,DOT,Department of Transportation,Transportation Property Acquisition Section,Fulltime-Regular,Real Estate Specialist III,03/19/1979,1979
M,DLC,Department of Liquor Control,Goshen Crossing,Fulltime-Regular,Liquor Store Assistant Manager,09/24/2002,2002
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,11/27/1995,1995
M,DEP,Department of Environmental Protection,Solid Waste Northern Operations,Fulltime-Regular,Program Manager II,02/07/2000,2000
F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Community Services Aide III,04/16/2007,2007
M,DEP,Department of Environmental Protection,Construction,Fulltime-Regular,Construction Representative III,01/14/2013,2013
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Master Police Officer,09/23/1985,1985
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,02/19/2008,2008
M,HCA,Department of Housing and Community Affairs,Community Development,Fulltime-Regular,Manager II,11/04/1996,1996
M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer III,03/19/2007,2007
M,POL,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer IV (Lieutenant),01/03/2012,2012
M,POL,Department of Police,PSB 1st District Station,Fulltime-Regular,Police Captain,08/07/1989,1989
M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Fire/Rescue Lieutenant,06/15/1992,1992
F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Social Worker IV,02/01/1999,1999
F,OHR,Office of Human Resources,Recruitment and Selection Division,Fulltime-Regular,Human Resources Specialist II,04/07/2014,2014
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,12/22/2014,2014
M,CEC,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Public Service Worker II,02/14/2010,2010
F,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),07/23/2007,2007
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Building Services Worker II,07/05/1988,1988
F,HHS,Department of Health and Human Services,"Planning, Accountability and Customer Service",Fulltime-Regular,Public Information Officer II,08/27/1990,1990
M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,12/01/2003,2003
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator II,11/06/2001,2001
M,FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Master Firefighter/Rescuer,09/04/2001,2001
F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,07/10/2006,2006
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,06/22/2015,2015
M,FRS,Fire and Rescue Services,Station 40,Fulltime-Regular,Master Firefighter/Rescuer,02/08/1999,1999
M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,01/11/2016,2016
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Services Aide III,08/09/2004,2004
M,FRS,Fire and Rescue Services,Station 18,Fulltime-Regular,Firefighter/Rescuer III,09/20/1993,1993
F,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,01/26/2004,2004
F,HHS,Department of Health and Human Services,Early Childhood Services,Fulltime-Regular,Manager II,07/02/2012,2012
M,DLC,Department of Liquor Control,Beer Warehouse Operations,Fulltime-Regular,Supply Technician II,08/11/2014,2014
F,FIN,Department of Finance,Payroll,Fulltime-Regular,Program Specialist II,05/07/2001,2001
F,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer Candidate,07/11/2016,2016
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,04/27/2015,2015
M,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Supervisor (Sergeant),12/08/1997,1997
M,DLC,Department of Liquor Control,Milestone,Parttime-Regular,Liquor Store Clerk I,12/08/2010,2010
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,06/05/2000,2000
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,01/17/2006,2006
M,DTS,Department of Technology Services,ETSD Telephone Services,Fulltime-Regular,Telecommunications Specialist,04/21/1991,1991
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator Apprentice,04/18/2016,2016
M,FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
M,CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",Fulltime-Regular,Assistant County Attorney III,04/04/2016,2016
M,CCL,County Council,Council Members and Staff,Fulltime-Regular,Public Administration Associate,01/26/2015,2015
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,09/12/1988,1988
